algorithm,level,instance,run,best_fitness,elapsed_sec,n_evals
WPT,intermediate,0,1,2514044.4832416913,361.3763704160001,884930
GA,intermediate,0,1,2067978.2086639947,327.6855944590002,826030
GA,intermediate,1,1,2427527.175313334,289.5156158340001,826030
WPT,intermediate,2,0,581805.9727966266,280.84365391699976,884930
PSO,intermediate,1,1,2537001.8925468326,298.85979645900034,885030
WPT,intermediate,1,2,2578892.4415602395,315.36539491600024,884930
GA,intermediate,1,2,2423074.739890572,296.1712052080002,826030
WPT,intermediate,1,1,2574497.1661299076,315.90231191700013,884930
PSO,intermediate,2,0,616566.1659626246,270.4745480419997,885030
PSO,intermediate,1,2,2505969.558445358,302.18559045799975,885030
PSO,intermediate,2,1,561653.3307312734,264.291835083,885030
GA,intermediate,2,0,542292.5959693071,285.00022929199986,826030
WPT,intermediate,2,1,584360.4198367579,283.158931167,884930
GA,intermediate,2,1,563106.7350692358,282.58749270800035,826030
PSO,intermediate,2,2,579965.8564574437,251.75827545799984,885030
GA,intermediate,2,2,550697.0639387968,267.163918708,826030
WPT,intermediate,2,2,571578.8867200423,279.130199792,884930
PSO,intermediate,3,1,952746.0054501162,289.0249905830001,885030
PSO,intermediate,3,2,953904.5600677582,276.82598820799967,885030
PSO,intermediate,3,0,1025731.5553625623,302.28346841699977,885030
GA,intermediate,3,0,878007.9746975902,303.975607458,826030
GA,intermediate,3,1,870062.480787849,298.2245593749999,826030
WPT,intermediate,3,0,1002430.5862964817,322.6902803339999,884930
WPT,intermediate,3,1,1079100.2937692052,324.61979304199986,884930
GA,intermediate,3,2,863037.7302272917,299.5464363750002,826030
WPT,intermediate,3,2,1077006.8357296626,328.077208958,884930
PSO,intermediate,4,0,2429273.5933298822,284.1796782910001,885030
WPT,intermediate,4,0,2509992.2562373932,303.84067479199985,884930
GA,intermediate,4,0,2356443.727878994,283.11446687499983,826030
PSO,intermediate,4,2,2430237.631489368,273.85966866599983,885030
PSO,intermediate,5,0,722243.9547394308,249.69708679199994,885030
GA,intermediate,4,1,2350220.012165161,284.64487762499994,826030
WPT,intermediate,4,1,2484721.6549090873,301.36715029100014,884930
PSO,intermediate,4,1,2538763.704191239,300.8084238340002,885030
GA,intermediate,4,2,2344617.374120729,281.46411987500005,826030
WPT,intermediate,4,2,2485163.9389234656,300.9078460830001,884930
WPT,intermediate,5,0,756078.0904392031,286.81470204200014,884930
GA,intermediate,5,0,695797.7659858027,270.2866022909998,826030
GA,intermediate,5,1,695797.7659858027,273.2060037080005,826030
PSO,intermediate,5,1,774944.9462364773,282.01698320800006,885030
GA,intermediate,6,0,123863.00523375603,243.4102916249999,826030
PSO,intermediate,6,1,131752.82307405988,228.62418641700015,885030
WPT,intermediate,5,1,746334.1496486746,292.55030591700006,884930
PSO,intermediate,6,0,132675.8333300696,227.83619237500034,885030
WPT,intermediate,6,1,131727.80721626442,234.45446820799953,884930
PSO,intermediate,5,2,751019.1812906619,259.7693809589996,885030
WPT,intermediate,6,0,132867.70632974984,235.63062316700007,884930
GA,intermediate,5,2,695797.7659858027,274.16728312500027,826030
GA,intermediate,6,1,123863.00523375603,246.24923850000005,826030
WPT,intermediate,5,2,755967.212301442,296.08995216699986,884930
WPT,intermediate,6,2,131753.82305042286,241.67271862500002,884930
PSO,intermediate,6,2,150392.5283347169,255.21264150000025,885030
GA,intermediate,6,2,123863.00523375603,248.94138854099947,826030
GA,intermediate,7,0,2821251.4566228143,333.24218783300057,826030
GA,intermediate,7,1,2815620.362781043,337.3859501249999,826030
PSO,intermediate,7,1,3266262.5802441835,355.3094795420002,885030
PSO,intermediate,7,0,3515179.737915307,377.3315747910001,885030
WPT,intermediate,7,0,3252940.844904574,388.3064819170004,884930
WPT,intermediate,7,1,3369872.788651848,387.53351716700035,884930
PSO,intermediate,7,2,3261527.206222003,364.0986990829997,885030
GA,intermediate,7,2,2806399.1187127363,339.2179476250003,826030
WPT,intermediate,7,2,3307092.811027026,387.35111379200043,884930
GA,intermediate,8,0,4018953.0554024274,325.735021083,826030
WPT,intermediate,8,0,4624297.986298569,399.63102037499993,884930
PSO,intermediate,8,0,4606463.380775339,388.56287045799945,885030
GA,intermediate,8,1,4043440.7690478684,347.3890044590007,826030
PSO,intermediate,9,0,2356460.8373324443,318.6818758750005,885030
WPT,intermediate,9,0,2370704.066105511,326.1487319580001,884930
GA,intermediate,9,0,2220861.9416943965,311.633419625,826030
GA,intermediate,8,2,4047583.854713888,345.1085271659995,826030
PSO,intermediate,8,1,4597928.7317613885,379.49105808399963,885030
WPT,intermediate,8,1,4627654.318006473,397.04555062500003,884930
PSO,intermediate,8,2,4661033.448973841,376.8424154580007,885030
WPT,intermediate,8,2,4652707.894397689,398.6634074169997,884930
WPT,intermediate,9,1,2373495.9711711826,321.0529537499997,884930
PSO,intermediate,9,1,2324726.192495714,294.60643741700005,885030
GA,intermediate,9,1,2192370.221307868,306.56010550000065,826030
PSO,intermediate,9,2,2331438.544565124,305.95077412499995,885030
GA,intermediate,9,2,2165489.7867722902,306.2874574160005,826030
WPT,intermediate,9,2,2348876.4338218733,326.6776904170001,884930
GA,advanced,0,0,5632183.746672111,643.1971788749997,826030
GA,advanced,0,1,5477350.603382432,629.1423037909999,826030
PSO,advanced,0,0,6693374.907942158,684.6967992499995,885030
PSO,advanced,0,1,6647262.286734339,665.8450164580008,885030
WPT,advanced,0,0,6706083.356509377,700.2410472920001,884930
WPT,advanced,0,1,6709934.026801526,697.7973044159999,884930
GA,advanced,1,0,1668473.6147305393,460.88396037500024,826030
PSO,advanced,1,0,2903957.662385195,504.21568149999985,885030
GA,advanced,0,2,5277128.248009366,626.3564918749998,826030
WPT,advanced,1,0,3058071.988909325,541.4009606249992,884930
WPT,advanced,0,2,6575147.088756525,700.6851830420001,884930
PSO,advanced,0,2,6598212.619901989,690.0781609169999,885030
GA,advanced,1,2,1580900.5592598396,445.9313529580004,826030
WPT,advanced,1,1,2978144.881471097,540.6718963329995,884930
GA,advanced,1,1,1432504.9060964175,456.42994341600024,826030
PSO,advanced,1,2,2928815.706985404,504.96038495799985,885030
PSO,advanced,1,1,2858645.882883482,515.0041390839997,885030
WPT,advanced,1,2,3094691.968417222,540.5770347919997,884930
GA,advanced,2,0,3333233.6975665847,480.4978866250003,826030
WPT,advanced,2,0,4068719.611611829,537.049177291,884930
PSO,advanced,2,0,4032938.3162358655,535.9890750000004,885030
GA,advanced,2,1,3388165.271509831,487.7678007080003,826030
PSO,advanced,2,1,4065140.438965543,513.1358701669997,885030
WPT,advanced,2,1,4076913.341704384,532.0491149170002,884930
GA,advanced,3,0,1610966.759162733,369.6773238749993,826030
WPT,advanced,3,0,2543150.432314727,443.8878127090002,884930
PSO,advanced,3,0,2487667.3954250813,429.6281819579999,885030
PSO,advanced,2,2,4102830.9601346245,514.0531309170001,885030
GA,advanced,2,2,3427156.39482408,486.82467633299984,826030
WPT,advanced,2,2,4129258.946540647,535.6141671659998,884930
GA,advanced,3,1,1604088.3458320664,382.66322825000043,826030
PSO,advanced,3,1,2533944.897689569,417.3467467090004,885030
GA,advanced,3,2,1587509.705785606,373.43507704199965,826030
WPT,advanced,3,1,2473587.9672764614,443.5101943340005,884930
PSO,advanced,3,2,2404846.129675514,419.09725225000057,885030
WPT,advanced,3,2,2546577.7956915875,445.1244311250002,884930
GA,advanced,4,0,9338518.450486844,689.2104964999999,826030
WPT,advanced,4,0,10198668.369518392,734.0381733330005,884930
PSO,advanced,4,0,10020725.58942215,746.5958307910005,885030
GA,advanced,4,1,9593791.313890403,702.8779558750002,826030
PSO,advanced,4,1,10073354.559323901,716.3614550410002,885030
WPT,advanced,4,1,10224093.550118258,733.6994705420002,884930
GA,advanced,4,2,9567525.101380691,706.0081184999999,826030
PSO,advanced,4,2,10205772.386079764,729.8946832909996,885030
WPT,advanced,4,2,10209700.905655585,743.293728916,884930
WPT,advanced,5,0,11106627.472927203,753.841356334,884930
GA,advanced,5,0,10360296.349948466,720.215351625,826030
PSO,advanced,5,0,11053494.923143214,755.7052822080004,885030
GA,advanced,6,0,4829057.249393043,500.69147270900066,826030
WPT,advanced,6,0,5362967.973989577,554.4191947919999,884930
PSO,advanced,6,0,5250998.728358707,547.5788044170004,885030
GA,advanced,6,1,4705757.488492277,486.183337167,826030
WPT,advanced,6,1,5333542.006542105,555.577929,884930
PSO,advanced,6,1,5418609.574805853,539.2921010830005,885030
PSO,advanced,5,1,10882754.957095115,731.6962129579997,885030
WPT,advanced,5,1,11122652.326590786,749.9098281670003,884930
GA,advanced,5,1,10232825.960714564,711.541215833,826030
GA,advanced,5,2,10282235.344917461,720.3785032919996,826030
WPT,advanced,5,2,11166320.913469316,753.858526,884930
PSO,advanced,5,2,10965867.13173807,763.6683977080002,885030
GA,advanced,6,2,4820749.520039055,508.82047887499994,826030
WPT,advanced,6,2,5393842.378502273,559.9809787910008,884930
PSO,advanced,6,2,5371282.47784371,542.780367792001,885030
GA,advanced,7,0,5242998.9139404455,595.1880644160001,826030
WPT,advanced,7,0,5972111.983966202,657.8263971659999,884930
GA,advanced,7,1,5066358.525493875,588.8272993330011,826030
PSO,advanced,7,0,5846082.453245805,662.9987231249997,885030
PSO,advanced,7,1,5984212.604367684,643.7956482909995,885030
WPT,advanced,7,1,5991669.267927334,656.7818523329997,884930
GA,advanced,7,2,5220143.572252228,598.9809294999995,826030
WPT,advanced,7,2,5939830.796827098,657.9731949579991,884930
PSO,advanced,7,2,5991850.408926296,645.3331148340003,885030
GA,advanced,8,0,4036623.3677641,463.7601208750002,826030
PSO,advanced,8,0,4836247.624671541,538.4283108330001,885030
WPT,advanced,8,0,4828584.876707461,563.4735044170011,884930
GA,advanced,8,1,3979050.226421739,462.94539929200073,826030
GA,advanced,8,2,4070224.2739205887,474.31022083399876,826030
PSO,advanced,8,1,4663416.524411101,531.4327272499995,885030
WPT,advanced,8,1,4811684.906400117,559.5207624579998,884930
PSO,advanced,8,2,4809658.677019593,552.8372384999984,885030
WPT,advanced,8,2,4869130.859323018,559.7431562080001,884930
GA,advanced,9,0,3767581.9518773877,500.90838387499934,826030
WPT,advanced,9,0,4829957.342535544,598.9830647920007,884930
PSO,advanced,9,0,4873046.335940212,576.3515037079997,885030
GA,advanced,9,1,3724292.415976305,497.73129125000014,826030
WPT,advanced,9,1,4830614.487265184,602.6149475000002,884930
PSO,advanced,9,1,4619436.604602208,595.0485262910006,885030
GA,advanced,9,2,3776322.0365340644,495.87729658399985,826030
WPT,advanced,9,2,4786300.986270873,603.691651957999,884930
PSO,advanced,9,2,4758835.515903316,574.6149377909987,885030
GA,complex,0,0,34694770.28964905,1233.9506580409998,826030
GA,complex,0,1,34911218.7914403,1240.0345603749993,826030
WPT,complex,0,0,47467816.63072273,1401.963531292,884930
PSO,complex,0,0,42317858.87855575,1350.9797371669993,885030
WPT,complex,0,1,46697361.26136187,1410.3310187499992,884930
PSO,complex,0,1,44584083.55344576,1344.585173208001,885030
GA,complex,0,2,33430725.448472776,1214.9341171249998,826030
PSO,complex,0,2,42286517.87588593,1337.7560193749996,885030
WPT,complex,0,2,47316776.18638312,1419.156264583,884930
GA,complex,1,0,37119317.71051294,1581.8874699999997,826030
WPT,complex,1,0,42228349.15606871,1681.893156958,884930
PSO,complex,1,0,45078904.14307308,1661.8304541670004,885030
WPT,complex,1,1,41949085.204852626,1672.8620600000013,884930
GA,complex,1,1,37001418.50084017,1571.8350718750007,826030
PSO,complex,1,1,44555956.72918114,1642.7116194169994,885030
GA,complex,1,2,37238890.967089385,1550.650894667,826030
WPT,complex,1,2,42003165.46259904,1675.5466397499986,884930
PSO,complex,1,2,44356128.551037535,1633.5365540410003,885030
GA,complex,2,0,77557726.41432929,2550.805319666999,826030
WPT,complex,2,0,81581125.76897173,2700.665638333001,884930
PSO,complex,2,0,83625049.10188083,2639.4534992080007,885030
GA,complex,3,0,48012908.78102079,1344.2030584999993,826030
WPT,complex,3,0,53003002.65358776,1483.0216637080011,884930
PSO,complex,3,0,52834347.13635779,1438.1935904999991,885030
GA,complex,2,1,77093790.64056747,2515.8554997500014,826030
PSO,complex,2,1,83485095.94063342,2625.1593209170005,885030
WPT,complex,2,1,81425630.16661128,2665.1419782499997,884930
GA,complex,2,2,77120187.75122523,2495.296658542,826030
PSO,complex,2,2,83511861.25931635,2654.593538707999,885030
WPT,complex,2,2,81363997.11588614,2680.478253083,884930
GA,complex,3,1,48087867.42167719,1294.5446610420004,826030
GA,complex,4,0,24281394.599622324,979.2362028750013,826030
WPT,complex,3,1,53209206.99823072,1505.2210297919992,884930
PSO,complex,3,1,53012326.81756856,1480.4004497909991,885030
WPT,complex,4,0,42890526.306212306,1137.6051865830013,884930
GA,complex,3,2,48349546.91337452,1354.2202237500005,826030
PSO,complex,4,0,39989178.862628326,1115.2156646250005,885030
WPT,complex,3,2,53171789.39126963,1497.5142548330005,884930
PSO,complex,3,2,52981779.89597257,1441.7148925000001,885030
GA,complex,4,1,23849160.68696626,986.5161928750003,826030
WPT,complex,4,1,42154331.752985604,1129.3302433749996,884930
PSO,complex,4,1,43747401.37142665,1128.566027125,885030
WPT,complex,4,2,42930842.13175119,1132.068314917,884930
GA,complex,4,2,23823714.230440106,972.6551547909985,826030
PSO,complex,4,2,40624611.5547353,1132.4937287079993,885030
GA,complex,5,0,58183052.19904377,2217.360221083998,826030
PSO,complex,5,0,74134355.12116417,2308.989558207999,885030
GA,complex,5,1,58156564.21015262,2201.838189582999,826030
WPT,complex,5,0,69613793.01088572,2380.4979309160008,884930
WPT,complex,5,1,70065989.1982022,2337.3925983749978,884930
PSO,complex,5,1,73354988.40108618,2328.511272124999,885030
PSO,complex,5,2,77204823.48338772,2293.990311458001,885030
GA,complex,5,2,57956699.52408821,2205.4243756669985,826030
WPT,complex,5,2,69604893.0225472,2342.9980643340004,884930
GA,complex,6,0,97053890.66946414,2509.9822680000016,826030
WPT,complex,6,0,102344318.87305488,2695.493711582998,884930
PSO,complex,6,0,106375881.22334404,2729.597577792001,885030
GA,complex,6,1,96255172.00722176,2468.154950541997,826030
WPT,complex,6,1,102794875.64945924,2668.826409333,884930
GA,complex,6,2,96855825.71004239,2493.749588750001,826030
PSO,complex,6,1,107277176.03393081,2648.036006708,885030
PSO,complex,6,2,106912432.10270819,2620.163272624999,885030
GA,complex,7,0,97600044.35144992,1919.2667776669987,826030
WPT,complex,6,2,102248940.21650802,2695.427922791998,884930
WPT,complex,7,0,102890628.57472214,2027.3458256249978,884930
PSO,complex,7,0,100823788.97980167,2020.5046124580003,885030
WPT,complex,7,1,101777157.55005345,2012.0375517079992,884930
GA,complex,7,1,97620159.3221118,1938.960612083003,826030
PSO,complex,7,1,100563761.3933952,1983.6562145829994,885030
WPT,complex,7,2,102289695.3718669,2031.2366532079977,884930
GA,complex,7,2,97603682.18761525,1942.5552619590017,826030
PSO,complex,7,2,102096565.0945425,1968.5367542919994,885030
GA,complex,8,0,95192650.08246064,2351.6684767920015,826030
WPT,complex,8,0,119723636.58948207,2508.4375552500023,884930
PSO,complex,8,0,124305429.3708645,2456.687973332999,885030
GA,complex,8,1,100776328.61327457,2400.710913415998,826030
PSO,complex,8,1,123197002.72372517,2457.111963667001,885030
WPT,complex,8,1,119812750.97186203,2536.0614230419997,884930
GA,complex,8,2,96863870.32284965,2401.9830304999996,826030
WPT,complex,8,2,119315495.46047479,2514.293906625,884930
PSO,complex,8,2,124613668.73949583,2510.0075572079986,885030
GA,complex,9,0,43078406.895896226,1735.5997124999994,826030
WPT,complex,9,0,47388355.49489205,1838.9114736250012,884930
PSO,complex,9,0,49191987.43893118,1813.5336342089977,885030
GA,complex,9,1,43222607.542708755,1571.1392645000014,826030
WPT,complex,9,1,47172072.201709986,1680.4890480840004,884930
PSO,complex,9,1,49038544.87857479,1647.4357675840001,885030
GA,complex,9,2,43388937.89073107,1546.0922390829983,826030
PSO,complex,9,2,49241920.75741792,1594.1542623329988,885030
WPT,complex,9,2,46883498.06992843,1643.362683457999,884930
